2,3,4,6,7,8,9,12,13,14,15,16,21,22,23
1,2,3,6,7,8,12,13,14,15,17,18,23,24,25
1,2,4,6,8,9,11,12,14,16,17,18,19,22,25
3,4,6,7,8,10,12,13,14,15,16,18,21,22,24
2,3,6,7,10,11,12,15,16,17,18,19,20,21,25
4,6,7,8,9,11,12,14,16,18,19,20,21,22,23
2,5,6,9,10,12,13,14,16,17,18,20,21,23,24
1,4,5,6,7,8,11,12,13,17,20,21,22,23,24
4,5,7,8,9,10,13,14,15,16,17,19,21,22,23
1,3,7,9,10,11,15,16,18,19,20,22,23,24,25
2,3,4,6,10,11,12,13,14,15,17,19,22,24,25
1,4,6,7,10,12,13,14,15,16,17,19,23,24,25
2,4,5,6,7,12,13,15,16,17,20,21,22,24,25
1,2,6,7,9,11,12,13,14,15,18,20,22,23,25
1,2,4,6,8,10,12,13,14,16,17,18,20,22,25
5,6,7,8,9,10,13,15,16,17,19,21,23,24,25
2,6,8,9,11,14,15,16,17,19,20,21,22,23,25
2,7,8,9,10,11,12,13,15,17,18,19,21,22,25
1,2,3,4,7,8,9,10,11,13,16,17,18,20,25
1,2,3,5,6,7,9,10,13,14,17,18,19,23,24
